Title,Ostur Controller
Revision,1.1
Date,2017-01-11
Generated,Sat 04 Feb 2017 07:59:08 AM PST
Company,alvarop.com
Comment 1,
Comment 2,
Comment 3,
Comment 4,
Total Parts,57
Total Unique Parts,37



Ref,Qty,Value,Footprint,MPN,
C5 C6 C1 C10 ,4,100nF,Capacitors_SMD:C_0805,CL21B104MBCNNNC
C7 C9 ,2,4.7uF,Capacitors_SMD:C_0805,CL21A475KQFNNNG
C8 ,1,1uF,Capacitors_SMD:C_0805,CL21F105ZAFNNNG
C4 C2 ,2,10nF,Capacitors_SMD:C_0805,CL21B103KBANNNC
C13 C12 ,2,6pF,Capacitors_SMD:C_0603,CL10C060CB8NCNC
C11 ,1,10uF,Capacitors_SMD:C_0805,CL21B103KBANNNC
D3 ,1,LED2,LEDs:LED_0805,LG R971-KN-1
D2 ,1,LED1,LEDs:LED_0805,LG R971-KN-1
D1 ,1,LED0,LEDs:LED_0805,LG R971-KN-1
J1 ,1,ARM-SWD,footprints:ARM_SWD_SMD,20021121-00010C4LF
P14 ,1,I2C0,Pin_Headers:Pin_Header_Straight_1x04, 
P15 ,1,I2C1,Pin_Headers:Pin_Header_Straight_1x04, 
P16 ,1,I2C2,Pin_Headers:Pin_Header_Straight_1x04, 
P17 ,1,I2C3,Pin_Headers:Pin_Header_Straight_1x04, 
P13 ,1,SPI,Pin_Headers:Pin_Header_Straight_1x04, 
P12 ,1,UART0,Pin_Headers:Pin_Header_Straight_1x06, 
P11 ,1,VDD_SEL,Pin_Headers:Pin_Header_Straight_1x03, 
P10 P9 ,2,GPIO,Pin_Headers:Pin_Header_Straight_1x04, 
P6 ,1,GND,Pin_Headers:Pin_Header_Straight_1x04, 
P7 ,1,VDD,Pin_Headers:Pin_Header_Straight_1x04, 
P2 ,1,FRIDGE,Pin_Headers:Pin_Header_Straight_1x02, 
P3 ,1,FAN,Pin_Headers:Pin_Header_Straight_1x02, 
P4 ,1,PUMP,Pin_Headers:Pin_Header_Straight_1x02, 
P5 ,1,MIST,Pin_Headers:Pin_Header_Straight_1x02, 
P1 ,1,USB_OTG,footprints:USB_MICRO_B,10118192-0001LF
P22 ,1,UART3,Pin_Headers:Pin_Header_Straight_1x02, 
R2 R11 R12 R9 R10 R13 R14 R21 R22 R23 R24 ,11,10k,Resistors_SMD:R_0805,311-10KARCT-ND
R5 R4 R3 ,3,680,Resistors_SMD:R_0805,RC0805JR-07680RL
R7 R8 ,2,22,Resistors_SMD:R_0805,RC0805JR-0722RL
R6 ,1,1.5k,Resistors_SMD:R_0805,RC0805JR-071K5L
R1 ,1,0,Resistors_SMD:R_0805,MCR10ERTJ000
SW1 ,1,RST,footprints:PTS645SM43SMTR92,PTS645SM43SMTR92
SW2 ,1,BOOT,footprints:PTS645SM43SMTR92,PTS645SM43SMTR92
U1 ,1,stm32f072x,footprints:LQFP48,STM32F072CBT6
U2 ,1,LDO,footprints:SOT-223,LD1117S33CTR
U3 ,1,tca9546a,Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm,TCA9546APWR
Y2 ,1,32768Hz,footprints:FC-135,ABS07-120-32.768KHZ-T




BOM made with KICAD_BOM_WIZARD (https://github.com/HashDefineElectronics/KiCad_BOM_Wizard.git)
Generated Sat 04 Feb 2017 07:59:08 AM PST
